"['#Date/Time of Update: 2018-11-29 12:21:41 PM', '#Game ID', '#Game Date', '#Game Time', '#Away Team ID', '#Away Team Abbr.', '#Away Team City', '#Away Team Name', '#Home Team ID', '#Home Team Abbr.', '#Home Team City', '#Home Team Name', '#Location', '#Player ID', '#LastName', '#FirstName', '#Jersey Num', '#Position', '#Height', '#Weight', '#Birth Date', '#Age', '#Birth City', '#Birth Country', '#Rookie', '#Team ID', '#Team Abbr.', '#Team City', '#Team Name', '#PassAttempts', '#PassCompletions', '#PassPct', '#PassAttemptsPerGame', '#PassYards', '#PassYardsPerAtt', '#PassYardsPerGame', '#PassTD', '#PassTDPct', '#PassInt', '#PassIntPct', '#PassLng', '#PassAvg', '#Pass20Plus', '#Pass40Plus', '#PassSacks', '#PassSackY', '#QbRating', '#RushAttempts', '#RushAttemptsPerGame', '#RushYards', '#RushAverage', '#RushYardsPerGame', '#RushTD', '#RushLng', '#Rush1stDowns', '#Rush1stDownsPct', '#Rush20Plus', '#Rush40Plus', '#RushFumbles', '#Targets', '#Receptions', '#RecYards', '#RecAverage', '#RecYardsPerGame', '#RecTD', '#RecLng', '#Rec1stDowns', '#Rec20Plus', '#Rec40Plus', '#RecFumbles', '#TackleSolo', '#TackleTotal', '#TackleAst', '#Sacks', '#SackYds', '#TacklesForLoss', '#Interceptions', '#IntTD', '#IntYds', '#IntAverage', '#IntLng', '#PassesDefended', '#Stuffs', '#Safeties', '#StuffYds', '#Kb', '#Fumbles', '#FumLost', '#FumForced', '#FumOwnRec', '#FumOppRec', '#FumRecYds', '#FumTotalRec', '#FumTD', '#KrRet', '#KrYds', '#KrAvg', '#KrLng', '#KrTD', '#Kr20Plus', '#Kr40Plus', '#KrFC', '#KrFum', '#PrRet', '#PrYds', '#PrAvg', '#PrLng', '#PrTD', '#Pr20Plus', '#Pr40Plus', '#PrFC', '#PrFum', '#FgBlk', '#FgMade', '#FgAtt', '#FgPct', '#FgMade1_19', '#FgAtt1_19', '#Fg1_19Pct', '#FgMade20_29', '#FgAtt20_29', '#Fg20_29Pct', '#FgMade30_39', '#FgAtt30_39', '#Fg30_39Pct', '#FgMade40_49', '#FgAtt40_49', '#Fg40_49Pct', '#FgMade50Plus', '#FgAtt50Plus', '#Fg50PlusPct', '#FgLng', '#XpBlk', '#XpMade', '#XpAtt', '#XpPct', '#FgAndXpPts', '#KoPct', '#Kickoffs', '#KoYds', '#KoOOB', '#KoAvg', '#KoTB', '#KoRet', '#KoRetYds', '#KoRetAvgYds', '#KoTD', '#KoOS', '#KoOSR', '#Punts', '#PuntYds', '#PuntNetYds', '#PuntLng', '#PuntAvg', '#PuntNetAvg', '#PuntBlk', '#PuntOOB', '#PuntDown', '#PuntIn20', '#PuntIn20Pct', '#PuntTB', '#PuntTBPct', '#PuntFC', '#PuntRet', '#PuntRetYds', '#PuntRetAvg', '#TwoPtAtt', '#GamesStarted', '#TwoPtMade', '#TwoPtPassAtt', '#TwoPtPassMade', '#TwoPtPassRec', '#TwoPtRushAtt', '#TwoPtRushMade']"
"['', '40408', '2017-09-24', '1:00PM', '64', 'HOU', 'Houston', 'Texans', '50', 'NE', 'New England', 'Patriots', 'Gillette Stadium', '9686', 'Fairbairn', ""Ka'imi"", '7', 'K', '6\'0""', '190', '1994-01-29', '24', 'Kailua, HI', 'USA', 'Y', '64', 'HOU', 'Houston', 'Texans', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '4', '4', '100.0', '0', '0', '0.0', '0', '0', '0.0', '3', '3', '100.0', '1', '1', '100.0', '0', '0', '0.0', '40', '0', '3', '3', '100.0', '15', '0.0', '8', '520', '0', '65.0', '6', '2', '44', '22.0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0.0', '0', '0', '0', '0', '0.0', '0', '0.0', '0', '0', '0', '0.0', '', '1', '', '', '', '', '', '']"
"['', '40416', '2017-10-01', '1:00PM', '67', 'TEN', 'Tennessee', 'Titans', '64', 'HOU', 'Houston', 'Texans', 'NRG Stadium', '9686', 'Fairbairn', ""Ka'imi"", '7', 'K', '6\'0""', '190', '1994-01-29', '24', 'Kailua, HI', 'USA', 'Y', '64', 'HOU', 'Houston', 'Texans', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '1', '1', '0', '0.0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '3', '3', '100.0', '0', '0', '0.0', '0', '0', '0.0', '1', '1', '100.0', '1', '1', '100.0', '1', '1', '100.0', '50', '0', '6', '7', '85.7', '15', '0.0', '11', '719', '0', '65.4', '8', '3', '87', '29.0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0.0', '0', '0', '0', '0', '0.0', '0', '0.0', '0', '0', '0', '0.0', '', '1', '', '', '', '', '', '']"
"['', '40442', '2017-10-08', '8:30PM', '73', 'KC', 'Kansas City', 'Chiefs', '64', 'HOU', 'Houston', 'Texans', 'NRG Stadium', '9686', 'Fairbairn', ""Ka'imi"", '7', 'K', '6\'0""', '190', '1994-01-29', '24', 'Kailua, HI', 'USA', 'Y', '64', 'HOU', 'Houston', 'Texans', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0.0', '0', '0', '0.0', '0', '0', '0.0', '0', '0', '0.0', '0', '0', '0.0', '0', '0', '2', '2', '100.0', '2', '0.0', '4', '260', '0', '65.0', '2', '2', '49', '24.5', '0', '0', '0', '0', '0', '0', '0', '0.0', '0.0', '0', '0', '0', '0', '0.0', '0', '0.0', '0', '0', '0', '0.0', '', '1', '', '', '', '', '', '']"
"['', '40446', '2017-10-15', '1:00PM', '58', 'CLE', 'Cleveland', 'Browns', '64', 'HOU', 'Houston', 'Texans', 'NRG Stadium', '9686', 'Fairbairn', ""Ka'imi"", '7', 'K', '6\'0""', '190', '1994-01-29', '24', 'Kailua, HI', 'USA', 'Y', '64', 'HOU', 'Houston', 'Texans', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '1', '1', '100.0', '0', '0', '0.0', '0', '0', '0.0', '0', '0', '0.0', '1', '1', '100.0', '0', '0', '0.0', '40', '0', '2', '3', '66.7', '5', '0.0', '6', '385', '0', '64.2', '6', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0.0', '0', '0', '0', '0', '0.0', '0', '0.0', '0', '0', '0', '0.0', '', '1', '', '', '', '', '', '']"
"['', '40482', '2017-10-29', '4:05PM', '64', 'HOU', 'Houston', 'Texans', '79', 'SEA', 'Seattle', 'Seahawks', 'CenturyLink Field', '9686', 'Fairbairn', ""Ka'imi"", '7', 'K', '6\'0""', '190', '1994-01-29', '24', 'Kailua, HI', 'USA', 'Y', '64', 'HOU', 'Houston', 'Texans', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '1', '1', '100.0', '0', '0', '0.0', '0', '0', '0.0', '1', '1', '100.0', '0', '0', '0.0', '0', '0', '0.0', '31', '0', '5', '5', '100.0', '8', '0.0', '7', '434', '0', '62.0', '5', '2', '32', '16.0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0.0', '0', '0', '0', '0', '0.0', '0', '0.0', '0', '0', '0', '0.0', '', '1', '', '', '', '', '', '']"
"['', '40487', '2017-11-05', '1:00PM', '65', 'IND', 'Indianapolis', 'Colts', '64', 'HOU', 'Houston', 'Texans', 'NRG Stadium', '9686', 'Fairbairn', ""Ka'imi"", '7', 'K', '6\'0""', '190', '1994-01-29', '24', 'Kailua, HI', 'USA', 'Y', '64', 'HOU', 'Houston', 'Texans', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0.0', '0', '0', '0.0', '0', '0', '0.0', '0', '1', '0.0', '0', '0', '0.0', '0', '0', '0.0', '0', '0', '2', '2', '100.0', '2', '0.0', '3', '198', '0', '66.0', '2', '1', '17', '17.0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0.0', '0', '0', '0', '0', '0.0', '0', '0.0', '0', '0', '0', '0.0', '', '1', '', '', '', '', '', '']"
"['', '40506', '2017-11-12', '4:05PM', '64', 'HOU', 'Houston', 'Texans', '77', 'LA', 'Los Angeles', 'Rams', 'Los Angeles Memorial Coliseum', '9686', 'Fairbairn', ""Ka'imi"", '7', 'K', '6\'0""', '190', '1994-01-29', '24', 'Kailua, HI', 'USA', 'Y', '64', 'HOU', 'Houston', 'Texans', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0.0', '0', '0', '0.0', '0', '0', '0.0', '0', '1', '0.0', '0', '0', '0.0', '0', '0', '0.0', '0', '0', '1', '1', '100.0', '1', '0.0', '2', '136', '0', '68.0', '0', '2', '49', '24.5', '0', '0', '0', '0', '0', '0', '0', '0.0', '0.0', '0', '0', '0', '0', '0.0', '0', '0.0', '0', '0', '0', '0.0', '', '1', '', '', '', '', '', '']"
"['', '40514', '2017-11-19', '1:00PM', '76', 'ARI', 'Arizona', 'Cardinals', '64', 'HOU', 'Houston', 'Texans', 'NRG Stadium', '9686', 'Fairbairn', ""Ka'imi"", '7', 'K', '6\'0""', '190', '1994-01-29', '24', 'Kailua, HI', 'USA', 'Y', '64', 'HOU', 'Houston', 'Texans', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '1', '1', '100.0', '0', '0', '0.0', '0', '0', '0.0', '1', '1', '100.0', '0', '0', '0.0', '0', '0', '0.0', '34', '0', '4', '4', '100.0', '7', '0.0', '6', '360', '0', '60.0', '3', '3', '60', '20.0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0.0', '0', '0', '0', '0', '0.0', '0', '0.0', '0', '0', '0', '0.0', '', '1', '', '', '', '', '', '']"
"['', '40539', '2017-11-27', '8:30PM', '64', 'HOU', 'Houston', 'Texans', '56', 'BAL', 'Baltimore', 'Ravens', 'M&T Bank Stadium', '9686', 'Fairbairn', ""Ka'imi"", '7', 'K', '6\'0""', '190', '1994-01-29', '24', 'Kailua, HI', 'USA', 'Y', '64', 'HOU', 'Houston', 'Texans', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '3', '3', '100.0', '0', '0', '0.0', '1', '1', '100.0', '2', '2', '100.0', '0', '0', '0.0', '0', '0', '0.0', '37', '0', '1', '1', '100.0', '10', '0.0', '5', '328', '0', '65.6', '3', '2', '50', '25.0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0.0', '0', '0', '0', '0', '0.0', '0', '0.0', '0', '0', '0', '0.0', '', '1', '', '', '', '', '', '']"
"['', '40542', '2017-12-03', '1:00PM', '64', 'HOU', 'Houston', 'Texans', '67', 'TEN', 'Tennessee', 'Titans', 'Nissan Stadium', '9686', 'Fairbairn', ""Ka'imi"", '7', 'K', '6\'0""', '190', '1994-01-29', '24', 'Kailua, HI', 'USA', 'Y', '64', 'HOU', 'Houston', 'Texans', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '2', '4', '50.0', '0', '0', '0.0', '1', '2', '50.0', '0', '0', '0.0', '1', '2', '50.0', '0', '0', '0.0', '42', '0', '1', '1', '100.0', '7', '0.0', '4', '260', '0', '65.0', '4', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0.0', '0', '0', '0', '0', '0.0', '0', '0.0', '0', '0', '0', '0.0', '', '1', '', '', '', '', '', '']"
"['', '40561', '2017-12-10', '1:00PM', '78', 'SF', 'San Francisco', '49ers', '64', 'HOU', 'Houston', 'Texans', 'NRG Stadium', '9686', 'Fairbairn', ""Ka'imi"", '7', 'K', '6\'0""', '190', '1994-01-29', '24', 'Kailua, HI', 'USA', 'Y', '64', 'HOU', 'Houston', 'Texans', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '1', '2', '50.0', '0', '0', '0.0', '0', '0', '0.0', '0', '0', '0.0', '0', '0', '0.0', '1', '2', '50.0', '55', '0', '1', '2', '50.0', '4', '0.0', '4', '268', '0', '67.0', '2', '2', '42', '21.0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0.0', '0', '0', '0', '0', '0.0', '0', '0.0', '0', '0', '0', '0.0', '', '1', '', '', '', '', '', '']"
"['', '40575', '2017-12-17', '1:00PM', '64', 'HOU', 'Houston', 'Texans', '66', 'JAX', 'Jacksonville', 'Jaguars', 'EverBank Field', '9686', 'Fairbairn', ""Ka'imi"", '7', 'K', '6\'0""', '190', '1994-01-29', '24', 'Kailua, HI', 'USA', 'Y', '64', 'HOU', 'Houston', 'Texans', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0.0', '0', '0', '0.0', '0', '0', '0.0', '0', '0', '0.0', '0', '0', '0.0', '0', '0', '1', '1', '100.0', '1', '0.0', '2', '120', '0', '60.0', '0', '2', '44', '22.0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0.0', '0', '0', '0', '0', '0.0', '0', '0.0', '0', '0', '0', '0.0', '', '1', '', '', '', '', '', '']"
"['', '40602', '2017-12-25', '4:30PM', '59', 'PIT', 'Pittsburgh', 'Steelers', '64', 'HOU', 'Houston', 'Texans', 'NRG Stadium', '9686', 'Fairbairn', ""Ka'imi"", '7', 'K', '6\'0""', '190', '1994-01-29', '24', 'Kailua, HI', 'USA', 'Y', '64', 'HOU', 'Houston', 'Texans', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0.0', '0', '0', '0.0', '0', '0', '0.0', '0', '0', '0.0', '0', '0', '0.0', '0', '0', '0', '0', '0.0', '0', '0.0', '1', '65', '0', '65.0', '1', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0.0', '0', '0', '0', '0', '0.0', '0', '0.0', '0', '0', '0', '0.0', '', '1', '', '', '', '', '', '']"
"['', '40610', '2017-12-31', '1:00PM', '64', 'HOU', 'Houston', 'Texans', '65', 'IND', 'Indianapolis', 'Colts', 'Lucas Oil Stadium', '9686', 'Fairbairn', ""Ka'imi"", '7', 'K', '6\'0""', '190', '1994-01-29', '24', 'Kailua, HI', 'USA', 'Y', '64', 'HOU', 'Houston', 'Texans', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '2', '2', '100.0', '0', '0', '0.0', '0', '0', '0.0', '0', '0', '0.0', '1', '1', '100.0', '1', '1', '100.0', '52', '0', '1', '1', '100.0', '7', '0.0', '3', '195', '0', '65.0', '3', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0.0', '0', '0', '0', '0', '0.0', '0', '0.0', '0', '0', '0', '0.0', '', '1', '', '', '', '', '', '']"
"['', '40371', '2017-09-10', '1:00PM', '66', 'JAX', 'Jacksonville', 'Jaguars', '64', 'HOU', 'Houston', 'Texans', 'NRG Stadium', '7024', 'Fiedorowicz', 'C.J.', '87', 'TE', '6\'5""', '265', '1991-10-23', '27', '', '', 'N', '64', 'HOU', 'Houston', 'Texans', '0', '0', '0.0', '0.0', '0', '0.0', '0.0', '0', '0.0', '0', '0.0', '0', '0.0', '0', '0', '0', '0', '39.6', '0', '0.0', '0', '0.0', '0.0', '0', '0', '0', '0.0', '0', '0', '0', '4', '4', '46', '11.5', '46.0', '0', '15', '4', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '0', '1', '0', '0', '0', '0', '0', '0']"
"['', '40506', '2017-11-12', '4:05PM', '64', 'HOU', 'Houston', 'Texans', '77', 'LA', 'Los Angeles', 'Rams', 'Los Angeles Memorial Coliseum', '7024', 'Fiedorowicz', 'C.J.', '87', 'TE', '6\'5""', '265', '1991-10-23', '27', '', '', 'N', '64', 'HOU', 'Houston', 'Texans', '0', '0', '0.0', '0.0', '0', '0.0', '0.0', '0', '0.0', '0', '0.0', '0', '0.0', '0', '0', '0', '0', '39.6', '0', '0.0', '0', '0.0', '0.0', '0', '0', '0', '0.0', '0', '0', '0', '6', '2', '10', '5.0', '10.0', '0', '7', '0', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '0', '0', '0', '0', '0', '0', '0', '0']"
"['', '40514', '2017-11-19', '1:00PM', '76', 'ARI', 'Arizona', 'Cardinals', '64', 'HOU', 'Houston', 'Texans', 'NRG Stadium', '7024', 'Fiedorowicz', 'C.J.', '87', 'TE', '6\'5""', '265', '1991-10-23', '27', '', '', 'N', '64', 'HOU', 'Houston', 'Texans', '0', '0', '0.0', '0.0', '0', '0.0', '0.0', '0', '0.0', '0', '0.0', '0', '0.0', '0', '0', '0', '0', '39.6', '0', '0.0', '0', '0.0', '0.0', '0', '0', '0', '0.0', '0', '0', '0', '2', '2', '18', '9.0', '18.0', '0', '10', '1', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '0', '0', '0', '0', '0', '0', '0', '0']"
"['', '40539', '2017-11-27', '8:30PM', '64', 'HOU', 'Houston', 'Texans', '56', 'BAL', 'Baltimore', 'Ravens', 'M&T Bank Stadium', '7024', 'Fiedorowicz', 'C.J.', '87', 'TE', '6\'5""', '265', '1991-10-23', '27', '', '', 'N', '64', 'HOU', 'Houston', 'Texans', '0', '0', '0.0', '0.0', '0', '0.0', '0.0', '0', '0.0', '0', '0.0', '0', '0.0', '0', '0', '0', '0', '39.6', '0', '0.0', '0', '0.0', '0.0', '0', '0', '0', '0.0', '0', '0', '0', '8', '4', '37', '9.2', '37.0', '0', '10', '2', '0', '0', '0', '1', '1', '0', '0.0', '0', '1', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '0', '0', '0', '0', '0', '0', '0', '0']"
"['', '40542', '2017-12-03', '1:00PM', '64', 'HOU', 'Houston', 'Texans', '67', 'TEN', 'Tennessee', 'Titans', 'Nissan Stadium', '7024', 'Fiedorowicz', 'C.J.', '87', 'TE', '6\'5""', '265', '1991-10-23', '27', '', '', 'N', '64', 'HOU', 'Houston', 'Texans', '0', '0', '0.0', '0.0', '0', '0.0', '0.0', '0', '0.0', '0', '0.0', '0', '0.0', '0', '0', '0', '0', '39.6', '0', '0.0', '0', '0.0', '0.0', '0', '0', '0', '0.0', '0', '0', '0', '3', '2', '16', '8.0', '16.0', '0', '9', '0', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '0', '0', '0', '0', '0', '0', '0', '0']"
"['', '40371', '2017-09-10', '1:00PM', '66', 'JAX', 'Jacksonville', 'Jaguars', '64', 'HOU', 'Houston', 'Texans', 'NRG Stadium', '13009', 'Foreman', ""D'Onta"", '27', 'RB', '6\'0""', '235', '1996-04-24', '22', 'Texas City, TX', 'USA', 'Y', '64', 'HOU', 'Houston', 'Texans', '0', '0', '0.0', '0.0', '0', '0.0', '0.0', '0', '0.0', '0', '0.0', '0', '0.0', '0', '0', '0', '0', '39.6', '1', '1.0', '4', '4.0', '4.0', '0', '4', '0', '0.0', '0', '0', '0', '0', '0', '0', '0.0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '0', '0', '0', '0', '0', '0', '0', '0']"
"['', '40382', '2017-09-14', '8:25PM', '64', 'HOU', 'Houston', 'Texans', '57', 'CIN', 'Cincinnati', 'Bengals', 'Paul Brown Stadium', '13009', 'Foreman', ""D'Onta"", '27', 'RB', '6\'0""', '235', '1996-04-24', '22', 'Texas City, TX', 'USA', 'Y', '64', 'HOU', 'Houston', 'Texans', '0', '0', '0.0', '0.0', '0', '0.0', '0.0', '0', '0.0', '0', '0.0', '0', '0.0', '0', '0', '0', '0', '39.6', '12', '12.0', '40', '3.3', '40.0', '0', '9', '3', '25.0', '0', '0', '0', '0', '0', '0', '0.0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '0', '0', '0', '0', '0', '0', '0', '0']"
